N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type;Semaine type;Plaisir (0-5);Retour Athlète;Commentaires;Niveau semaine;Séances clés;Message Envoyé ?
67;Lundi;2026-08-10;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
67;Mardi;2026-08-11;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
67;Mercredi;2026-08-12;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
67;Jeudi;2026-08-13;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
67;Vendredi;2026-08-14;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
67;Samedi;2026-08-15;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
67;Dimanche;2026-08-16;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
66;Lundi;2026-08-17;CAP;VC;VC : 1600m x 3 (effort 06:29, recup 03:14);1400;🟨;🔴;;;;;;
66;Mardi;2026-08-18;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
66;Mercredi;2026-08-19;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
66;Jeudi;2026-08-20;CAP;VC;VC : 2800m x 2 (effort 11:49, recup 05:40);1680;🟨;🔴;;;;;;
66;Vendredi;2026-08-21;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
66;Samedi;2026-08-22;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
66;Dimanche;2026-08-23;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔴;;;;;;
65;Lundi;2026-08-24;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
65;Mardi;2026-08-25;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
65;Mercredi;2026-08-26;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
65;Jeudi;2026-08-27;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
65;Vendredi;2026-08-28;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
65;Samedi;2026-08-29;Repos;Repos;Repos total ou étirements;0;⬜;🔴;;;;;;
65;Dimanche;2026-08-30;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
64;Lundi;2026-08-31;CAP;VC;VC : 2000m x 3 (effort 08:16, recup 04:03);1774;🟨;🔵;;;;;;
64;Mardi;2026-09-01;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔵;;;;;;
64;Mercredi;2026-09-02;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
64;Jeudi;2026-09-03;CAP;VC;VC : 1000m x 4 (effort 03:58, recup 02:01);1152;🟨;🔵;;;;;;
64;Vendredi;2026-09-04;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
64;Samedi;2026-09-05;Repos;Repos;Repos total ou étirements;0;⬜;🔵;;;;;;
64;Dimanche;2026-09-06;CAP;VC;VC : 2400m x 3 (effort 10:01, recup 04:51);2144;🟨;🔵;;;;;;
63;Lundi;2026-09-07;CAP;VMA;VMA : 1000m x 5 (effort 03:12, recup 01:28);1125;🟥;🔴;;;;;;
63;Mardi;2026-09-08;CAP;VMA;VMA : 2000m x 4 (effort 06:38, recup 02:57);1842;🟥;🔴;;;;;;
