# ============================================================
# FUSION DES PLANS (8 COLONNES) - 2026-08-24 18:47:06
# Colonnes : N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type
# Nombre de fichiers fusionnes : 10
# ============================================================
N° semaine;Jour;Date;Discipline;Type de séance;Détails;Durée (min);Journée type

# ============================================================
# FICHIER N°1 : Claire_LEFEVRE_plan_20260824_184657.csv
# ============================================================
🟢S-11;Mardi;2026-08-25;CAP;Footing de récupération Z1;Footing de récupération Z1 (51 min);51;🟦
🟢S-11;*;2026-08-25;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🟢S-11;Mercredi;2026-08-26;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
🟢S-11;Jeudi;2026-08-27;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (72 min);72;🟩
🟢S-11;*;2026-08-27;Natation;Récupération active;Récupération active (72 min);72;🟦
🟡S-10;Mardi;2026-09-01;CAP;Footing de récupération Z1;Footing de récupération Z1 (78 min);78;🟦
🟡S-10;*;2026-09-01;Renforcement;Pliométrie;Pliométrie (30 min);30;🟩
🟡S-10;Mercredi;2026-09-02;Vélo;Seuil Z4;Seuil Z4 (123 min);123;🟨
🟡S-10;Jeudi;2026-09-03;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (112 min);112;🟩
🟡S-10;*;2026-09-03;Natation;Récupération active;Récupération active (72 min);72;🟦
🔴S-09;Mardi;2026-09-08;CAP;VC;VC 500m x 6 @ 11.6 km/h (effort 02:34 / recup 125.0m x 01:24) - 15min d'intensité;45;🟨
🔴S-09;Mercredi;2026-09-09;Vélo;Seuil Z4;Seuil Z4 (172 min);172;🟨
🔴S-09;Jeudi;2026-09-10;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-09;*;2026-09-10;Natation;Récupération active;Récupération active (72 min);72;🟦
🔴S-09;*;2026-09-10;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
⚪S-08;Mardi;2026-09-15;Course;Compétition intermédiaire;Triathlon Mâcon 15/09;0;⭐
⚪S-08;Mercredi;2026-09-16;Vélo;Seuil Z4;Seuil Z4 (80 min);80;🟨
⚪S-08;Jeudi;2026-09-17;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (61 min);61;🟩
⚪S-08;*;2026-09-17;Natation;Récupération active;Récupération active (72 min);72;🟦
⚪S-08;*;2026-09-17;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🔴S-07;Mardi;2026-09-22;CAP;Footing de récupération Z1;Footing de récupération Z1 (91 min);91;🟦
🔴S-07;*;2026-09-22;Renforcement;Renforcement spécifique;Renforcement spécifique (30 min);30;🟩
🔴S-07;Mercredi;2026-09-23;Vélo;Seuil Z4;Seuil Z4 (156 min);156;🟨
🔴S-07;Jeudi;2026-09-24;CAP;Endurance fondamentale Z2;Endurance fondamentale Z2 (120 min);120;🟩
🔴S-07;*;2026-09-24;Natation;Récupération active;Récupération active (72 min);72;🟦
